gene_symbol,n,n_pos,n_neg,varity,alphamissense,gmvp
HEATR3,13,4,9,0.9722222222222222,1.0,0.9444444444444444
HECW2,108,33,75,0.9571717171717171,0.9692929292929293,0.9212121212121211
HEPACAM,20,10,10,0.93,1.0,1.0
HFM1,25,7,18,0.9761904761904763,0.9841269841269841,0.8492063492063492
HGD,133,127,6,0.9501312335958005,0.9527559055118111,0.973753280839895
HIBCH,24,15,9,0.7407407407407408,0.7925925925925926,0.7555555555555555
HIVEP2,284,3,281,0.8208778173190985,0.7722419928825622,0.8956109134045077
HKDC1,12,5,7,0.6000000000000001,0.48571428571428577,0.5428571428571429
HMBS,52,48,4,0.984375,0.984375,1.0
HMGCL,20,17,3,1.0,1.0,0.9607843137254902
HMGCR,8,5,3,1.0,0.8666666666666667,0.9333333333333333
HNF1B,85,80,5,0.88,0.9400000000000001,0.9450000000000001
HNRNPA1,27,19,8,0.8421052631578947,0.7368421052631579,0.631578947368421
HNRNPH2,15,10,5,0.9800000000000001,0.9800000000000001,0.7
HNRNPK,27,22,5,0.9545454545454546,0.990909090909091,0.9363636363636363
HNRNPU,106,10,96,0.9052083333333333,0.9416666666666667,0.8531249999999999
HOGA1,58,53,5,1.0,1.0,0.9622641509433962
HOXD13,13,9,4,0.9166666666666666,0.9166666666666666,0.8611111111111112
HPDL,29,23,6,1.0,0.9927536231884058,0.9927536231884058
HPGD,10,6,4,1.0,0.9166666666666667,0.7083333333333333
HPS1,24,9,15,0.962962962962963,0.962962962962963,0.9851851851851852
HPS3,12,3,9,0.9259259259259259,1.0,0.9259259259259259
HPS5,16,3,13,1.0,1.0,0.9743589743589745
HPS6,16,6,10,0.9,0.9666666666666668,0.9666666666666667
HR,37,3,34,1.0,1.0,1.0
HRAS,35,28,7,0.903061224489796,1.0,0.9948979591836735
HS2ST1,6,3,3,1.0,1.0,1.0
HSD11B2,17,10,7,1.0,1.0,1.0
HSD17B10,21,16,5,0.9625,0.9625,1.0
HSD17B3,34,28,6,0.9345238095238095,0.9583333333333334,0.9345238095238095
HSD3B2,30,23,7,0.9875776397515528,0.9440993788819877,0.9440993788819876
HSF4,17,7,10,0.9571428571428572,0.9428571428571428,0.8571428571428571
HSPA9,7,3,4,0.9166666666666666,0.75,0.75
HSPB1,24,21,3,0.9206349206349206,1.0,0.7936507936507937
HSPB8,11,6,5,0.9333333333333333,0.9333333333333333,0.7999999999999999
HSPG2,92,8,84,0.8035714285714286,0.796875,0.8601190476190476
HTRA1,24,19,5,1.0,1.0,1.0
HUWE1,158,68,90,0.9357843137254902,0.9450980392156862,0.9037581699346406
HYAL2,14,8,6,1.0,1.0,1.0
HYOU1,9,3,6,1.0,1.0,1.0
IARS2,21,6,15,0.9000000000000001,0.9111111111111111,0.9
IBA57,17,10,7,0.9857142857142858,0.8142857142857143,0.9428571428571428
IDH1,14,6,8,0.8541666666666667,0.9791666666666666,0.8958333333333334
IDH2,11,6,5,0.9,0.9666666666666668,0.9666666666666668
IDH3A,9,4,5,1.0,1.0,1.0
IDS,345,297,48,0.9638047138047138,0.9725028058361392,0.922138047138047
IDUA,124,105,19,0.9243107769423559,0.9298245614035088,0.8977443609022556
IFIH1,134,36,98,0.7568027210884354,0.7091836734693877,0.7414965986394558
IFNGR1,10,5,5,1.0,1.0,1.0
IFT140,68,21,47,0.9088145896656535,0.9402228976697061,0.9159067882472138
IFT172,24,8,16,0.8828125,0.953125,0.8984375
IFT27,9,4,5,0.9500000000000001,0.9500000000000001,1.0
IFT52,9,3,6,0.6666666666666667,0.888888888888889,1.0
IFT74,14,3,11,0.8787878787878788,0.8484848484848484,0.8181818181818181
IFT80,13,6,7,0.9523809523809524,0.9523809523809523,0.9761904761904763
