gene_symbol,n,n_pos,n_neg,varity,alphamissense,gmvp,polyphen2,sift
NOTCH1,266,19,247,0.9695290858725761,0.9622842531429788,0.9780524184956318,0.8554229703814191,0.8272959727253356
NOTCH2,55,7,48,0.8898809523809523,0.7886904761904762,0.8720238095238095,0.6309523809523809,0.7083333333333334
NOTCH3,211,133,78,0.9699248120300751,0.9713707345286293,0.9724310776942356,0.8919895893580104,0.8468768074031232
NPC1,81,70,11,0.9103896103896103,0.9506493506493506,0.8961038961038961,0.9233766233766234,0.9129870129870129
NPHP3,10,5,5,0.68,0.6799999999999999,0.64,0.68,0.8
NPHS1,62,32,30,0.9687500000000001,0.9322916666666667,0.934375,0.9614583333333333,0.90625
NPR2,24,21,3,0.746031746031746,0.9523809523809523,0.9682539682539684,0.8571428571428572,0.5476190476190477
NR0B1,30,11,19,1.0,1.0,1.0,0.9688995215311006,0.937799043062201
NR2E3,18,14,4,0.8214285714285714,0.9464285714285714,0.9107142857142857,0.9107142857142857,0.7767857142857143
NR2F1,39,33,6,0.9848484848484849,0.9848484848484849,0.9646464646464646,0.9747474747474747,0.8686868686868687
NR4A2,20,10,10,0.85,0.92,0.95,0.86,0.84
NSD1,354,117,237,0.980561866637816,0.9836092177864328,0.982978109560388,0.9600778967867576,0.9037289480327455
NSD2,58,5,53,0.969811320754717,0.8943396226415095,0.9320754716981132,0.9339622641509434,0.8849056603773584
NSDHL,30,4,26,0.9807692307692308,1.0,0.9519230769230769,0.9182692307692308,0.923076923076923
NSUN2,11,3,8,0.875,0.875,0.875,0.9166666666666666,0.875
NTRK1,33,16,17,0.9779411764705882,0.9411764705882353,0.900735294117647,0.7702205882352942,0.801470588235294
NUP93,14,3,11,0.9393939393939393,0.8181818181818182,0.9393939393939393,0.7878787878787878,0.8181818181818181
OAT,15,10,5,1.0,1.0,1.0,1.0,1.0
OCA2,73,56,17,0.9821428571428571,0.9653361344537814,0.9611344537815125,0.9474789915966387,0.9511554621848739
OFD1,47,8,39,0.9134615384615385,0.8846153846153847,0.8878205128205129,0.8926282051282052,0.8910256410256411
OPHN1,22,8,14,0.8214285714285714,0.9196428571428572,0.8571428571428571,0.8392857142857143,0.75
ORAI1,11,7,4,1.0,1.0,1.0,1.0,1.0
ORC1,12,3,9,0.8148148148148149,1.0,0.9629629629629629,0.962962962962963,0.9074074074074074
OTC,147,141,6,0.8664302600472812,0.9408983451536643,0.8888888888888888,0.8871158392434988,0.8469267139479906
OTOF,101,27,74,0.9219219219219219,0.9436936936936937,0.95995995995996,0.8663663663663663,0.7432432432432432
OXCT1,7,4,3,1.0,1.0,0.8333333333333334,1.0,0.9166666666666667
PADI3,14,5,9,0.9333333333333333,0.8666666666666667,1.0,0.8222222222222222,0.9444444444444444
PADI6,13,5,8,0.95,1.0,1.0,0.8500000000000001,0.975
PAFAH1B1,43,31,12,0.9408602150537634,0.9139784946236559,0.9086021505376344,0.7930107526881721,0.836021505376344
PAK1,18,15,3,1.0,1.0,1.0,0.9777777777777779,0.9555555555555556
PALB2,59,3,56,0.8095238095238095,0.875,0.7678571428571428,0.8630952380952381,0.8303571428571429
PATL2,12,3,9,0.7037037037037037,0.7037037037037037,0.6296296296296297,0.7592592592592593,0.7777777777777778
PAX3,35,25,10,0.996,0.996,0.964,0.9520000000000001,0.6819999999999999
PBX1,15,12,3,1.0,1.0,1.0,0.9444444444444444,0.7361111111111112
